Role,Index,Pose Index,Visible,Activity Miner Focus,Fav,Structure,Title,Radial Plot,Ref,Protein,MW,#Atoms,SlogP,TPSA,Flexibility,#RB,Rof5,Filename,Tags,Confs,Conf Energy,Poses,Notes,Activity (Primary),LE (Primary),LipE (Primary),LF Rank Score,LF dG,LF VSscore,LF LE,IDNUMBER,Chemical_Name,CAS,PriceCoeff,Description,FSP3,clogP,H-acceptors,H-donors,RotBonds,HAC,Collection,PPDS,LCTNUMBER
LC_Fsp3-enriched_Screening_Compound_Library,9600,1,FALSE,,FALSE,Clc1ccccc1N2CCN(CC2)C(=O)Cc3csc(NC(=O)NC4CCCC4)n3,F2096-1301_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,448,30,3.8,77.6,5.7,8,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-9.012,-9.984,-10.95,-0.333,F2096-1301,"3-(4-{2-[4-(2-chlorophenyl)piperazin-1-yl]-2-oxoethyl}-1,3-thiazol-2-yl)-1-cyclopentylurea",921507-72-4,1,solid,0.48,3.94,4,3,6,30,General,,LCT00970
LC_Fsp3-enriched_Screening_Compound_Library,10889,1,FALSE,,FALSE,O=C(N1CCN(CC1)C(=O)c2ccco2)Cc3csc(n3)NC(=O)C(C)(C)C,F2202-1275_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,404.5,28,1.7,95.8,4,7,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-6.237,-9.464,-9.848,-0.338,F2202-1275,"N-(4-{2-[4-(furan-2-carbonyl)piperazin-1-yl]-2-oxoethyl}-1,3-thiazol-2-yl)-2,2-dimethylpropanamide",923245-82-3,1,solid,0.47,1.08,5,1,6,28,General,,LCT01327
LC_Fsp3-enriched_Screening_Compound_Library,10928,1,FALSE,,FALSE,O=C(NC1CC[NH+](CC1)Cc2ccccc2)Cc3csc(NC(=O)C4CCCC4)n3,F2202-2336_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,427.6,30,3.6,75.5,7.7,7,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-9.774,-9.693,-10.489,-0.323,F2202-2336,"N-(4-{[(1-benzylpiperidin-4-yl)carbamoyl]methyl}-1,3-thiazol-2-yl)cyclopentanecarboxamide",1206997-46-7,1,solid,0.52,2.26,3,3,7,30,General,,LCT01327
LC_Fsp3-enriched_Screening_Compound_Library,10934,1,FALSE,,FALSE,O=C(N1CCN(CC1)c2ncccn2)Cc3csc(NC(=O)C4CCCC4)n3,F2202-2338_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,400.5,28,2,91.3,5.2,6,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-8.596,-10.5,-10.789,-0.375,F2202-2338,"N-(4-{2-oxo-2-[4-(pyrimidin-2-yl)piperazin-1-yl]ethyl}-1,3-thiazol-2-yl)cyclopentanecarboxamide",1207048-80-3,1,solid,0.53,1.25,5,2,6,28,General,,LCT01327
LC_Fsp3-enriched_Screening_Compound_Library,10941,1,FALSE,,FALSE,O=C(N1CC[NH+](C2CCCCC2)CC1)Cc3csc(NC(=O)Cc4ccccc4)n3,F2202-2845_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,427.6,30,3.3,66.7,6.6,7,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-9.165,-9.572,-10.279,-0.319,F2202-2845,"N-{4-[2-(4-cyclohexylpiperazin-1-yl)-2-oxoethyl]-1,3-thiazol-2-yl}-2-phenylacetamide",1206988-21-7,1,solid,0.52,3.42,3,2,7,30,General,,LCT01327
LC_Fsp3-enriched_Screening_Compound_Library,12053,1,FALSE,,FALSE,O=C(NC1CCCCCC1)Cc2csc(NS(=O)(=O)c3ccc(cc3)C)n2,F2322-0351_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,407.5,27,3.6,88.2,6.9,6,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-7.967,-9.689,-10.188,-0.359,F2322-0351,"N-cycloheptyl-2-[2-(4-methylbenzenesulfonamido)-1,3-thiazol-4-yl]acetamide",921926-65-0,1,solid,0.47,3.24,4,2,6,27,General,,LCT01873
LC_Fsp3-enriched_Screening_Compound_Library,12228,1,FALSE,,FALSE,O=C(NCCn1c2c(c(N3CCCC3)nc(SC)n2)cn1)C45CC6CC(C4)CC(C5)C6,F2337-0919_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,440.6,31,3.5,75.9,7.7,6,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-8.529,-9.905,-10.197,-0.32,F2337-0919,"N-{2-[6-(methylsulfanyl)-4-(pyrrolidin-1-yl)-1H-pyrazolo[3,4-d]pyrimidin-1-yl]ethyl}adamantane-1-carboxamide",946364-52-9,1,solid,0.74,3.64,4,2,6,31,General,,LCT00040
LC_Fsp3-enriched_Screening_Compound_Library,12235,1,FALSE,,FALSE,O=C(NCCn1c2c(c(N3CCCC3)nc(SC)n2)cn1)c4ccc(OC(C)C)cc4,F2337-0940_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,440.6,31,3.4,85.2,6.5,8,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-9.029,-9.475,-10.22,-0.306,F2337-0940,"N-{2-[6-(methylsulfanyl)-4-(pyrrolidin-1-yl)-1H-pyrazolo[3,4-d]pyrimidin-1-yl]ethyl}-4-(propan-2-yloxy)benzamide",941942-07-0,1,solid,0.45,3.76,5,2,8,31,General,+,LCT00040
LC_Fsp3-enriched_Screening_Compound_Library,12931,1,FALSE,,FALSE,O=C(NC[C@@H]([NH+]1CCCCCC1)c2cscc2)C(=O)NCC[NH+]3CCOCC3,F2392-1458_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,410.6,28,1.2,76.3,10.3,8,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-8.794,-9.719,-10.042,-0.347,F2392-1458,N'-[2-(azepan-1-yl)-2-(thiophen-3-yl)ethyl]-N-[2-(morpholin-4-yl)ethyl]ethanediamide,946248-46-0,1,solid,0.7,2.69,3,4,8,28,General,,LCT02150
LC_Fsp3-enriched_Screening_Compound_Library,12934,1,FALSE,,FALSE,O=C(NCc1cccs1)C(=O)NC[C@@H]([NH+]2CCCCCC2)c3cscc3,F2392-1465_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,392.6,26,3.2,62.6,8.4,7,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-8.695,-10.37,-10.477,-0.399,F2392-1465,N'-[2-(azepan-1-yl)-2-(thiophen-3-yl)ethyl]-N-[(thiophen-2-yl)methyl]ethanediamide,946303-77-1,1,solid,0.47,3.3,2,3,7,26,General,,LCT02150
LC_Fsp3-enriched_Screening_Compound_Library,12944,1,FALSE,,FALSE,O=C(NC[C@@H]([NH+]1CCN(CC1)C)c2cscc2)NCc3ccc(OC)c(OC)c3,F2392-1713_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,419.6,29,2.6,67.3,8.5,10,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-11.022,-9.645,-10.455,-0.333,F2392-1713,"1-[(3,4-dimethoxyphenyl)methyl]-3-[2-(4-methylpiperazin-1-yl)-2-(thiophen-3-yl)ethyl]urea",1105224-62-1,1,solid,0.48,2.85,5,4,8,29,General,,LCT03831
LC_Fsp3-enriched_Screening_Compound_Library,13118,1,FALSE,,FALSE,O=C(NCC1CCCCC1)[C@H]2c3c(sc(n3)NC(=O)c4ccc5c(OCO5)c4)CC2,F2431-0781_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,427.5,30,3.9,89.5,4.5,5,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-9.721,-9.445,-10.353,-0.315,F2431-0781,"2-(2H-1,3-benzodioxole-5-amido)-N-(cyclohexylmethyl)-4H,5H,6H-cyclopenta[d][1,3]thiazole-4-carboxamide",955701-77-6,1,solid,0.5,3.54,5,2,5,30,General,,LCT01953
LC_Fsp3-enriched_Screening_Compound_Library,14131,1,FALSE,,FALSE,O=C(N1CC[NH+](CC1)Cc2ccccc2)C[C@@H]3CSC4=NC(C(C)C)=CC(=O)N43,F2495-0976_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,413.6,29,2.5,57.4,6.5,6,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-9.036,-9.839,-11.05,-0.339,F2495-0976,"3-[2-(4-benzylpiperazin-1-yl)-2-oxoethyl]-7-(propan-2-yl)-2H,3H,5H-[1,3]thiazolo[3,2-a]pyrimidin-5-one",952996-54-2,1.5,solid,0.5,3.26,3,1,6,29,Advanced,,LCT02220
LC_Fsp3-enriched_Screening_Compound_Library,14140,1,FALSE,,FALSE,O=C(N1C[C@@H]2C3=CC=CC(=O)N3C[C@@H](C2)C1)C[C@@H]4CSC5=NC(C(C)C)=CC(=O)N54,F2495-0985_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,426.5,30,1.7,73.3,4.8,4,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-8.495,-9.793,-10.69,-0.326,F2495-0985,"11-{2-[5-oxo-7-(propan-2-yl)-2H,3H,5H-[1,3]thiazolo[3,2-a]pyrimidin-3-yl]acetyl}-7,11-diazatricyclo[7.3.1.0^{2,7}]trideca-2,4-dien-6-one",1013774-71-4,1.5,oil,0.55,1.03,4,0,4,30,Advanced,,LCT02220
LC_Fsp3-enriched_Screening_Compound_Library,15223,1,FALSE,,FALSE,O=S(=O)(N1CCCC[C@@H]1CCNC(=O)C(=O)NC2CCCCCC2)c3cccs3,F2571-0394_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,441.6,29,2.6,95.6,9.3,7,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-7.877,-10.005,-10.44,-0.345,F2571-0394,N'-cycloheptyl-N-{2-[1-(thiophene-2-sulfonyl)piperidin-2-yl]ethyl}ethanediamide,898425-74-6,1,solid,0.7,3.72,4,2,7,29,General,,LCT00648
LC_Fsp3-enriched_Screening_Compound_Library,16166,1,FALSE,,FALSE,Clc1cccc([C@H]([NH+]2CCC(CC2)C(OCC)=O)c3c(O)n4c(s3)nc(n4)CC)c1,F2631-0148_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,450,30,4.1,81.2,7.5,7,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-8.565,-9.731,-9.844,-0.324,F2631-0148,"ethyl 1-[(3-chlorophenyl)({2-ethyl-6-hydroxy-[1,2,4]triazolo[3,2-b][1,3]thiazol-5-yl})methyl]piperidine-4-carboxylate",898344-70-2,1,solid,0.48,3.8,5,2,7,30,General,,LCT00739
LC_Fsp3-enriched_Screening_Compound_Library,16826,1,FALSE,,FALSE,O=C(NC[C@@H]([NH+]1Cc2ccccc2CC1)c3cccs3)C(=O)NCC[NH+]4CCOCC4,F2662-0100_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,444.6,31,1.4,76.3,8.7,8,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-9.607,-9.506,-10.184,-0.307,F2662-0100,"N'-[2-(morpholin-4-yl)ethyl]-N-[2-(1,2,3,4-tetrahydroisoquinolin-2-yl)-2-(thiophen-2-yl)ethyl]ethanediamide",903290-05-1,1,solid,0.48,2.95,3,4,8,31,General,,LCT00775
LC_Fsp3-enriched_Screening_Compound_Library,17163,1,FALSE,,FALSE,Fc1ccc([C@H]([NH+]2CCN(CC2)C)CNC(=O)C(=O)NCCC3=CCCCC3)cc1,F2672-0365_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,417.5,30,2.4,65.9,8.7,8,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-9.022,-9.731,-10.953,-0.324,F2672-0365,N'-[2-(cyclohex-1-en-1-yl)ethyl]-N-[2-(4-fluorophenyl)-2-(4-methylpiperazin-1-yl)ethyl]ethanediamide,906151-06-2,1,solid,0.57,3.84,4,4,8,30,General,,LCT00467
LC_Fsp3-enriched_Screening_Compound_Library,17209,1,FALSE,,FALSE,O=C1N=C(SCC(=O)Nc2ccc(CC)cc2)C=3CCCC3N1CC[NH+]4CCOCC4,F2685-0002_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,443.6,31,3.5,75.4,8.2,8,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-9.99,-10.156,-10.91,-0.328,F2685-0002,"N-(4-ethylphenyl)-2-({1-[2-(morpholin-4-yl)ethyl]-2-oxo-1H,2H,5H,6H,7H-cyclopenta[d]pyrimidin-4-yl}sulfanyl)acetamide",898450-73-2,1,solid,0.52,2.45,4,2,8,31,General,,LCT00827
LC_Fsp3-enriched_Screening_Compound_Library,17212,1,FALSE,,FALSE,O=C(Nc1ccc(cc1C)C)CSC=2C=3CCCC3N(CC[NH+]4CCOCC4)C(=O)N2,F2685-0003_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,443.6,31,3.6,75.4,7.2,7,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-9.882,-10.965,-11.471,-0.354,F2685-0003,"N-(2,4-dimethylphenyl)-2-({1-[2-(morpholin-4-yl)ethyl]-2-oxo-1H,2H,5H,6H,7H-cyclopenta[d]pyrimidin-4-yl}sulfanyl)acetamide",946269-85-8,1,solid,0.52,1.77,4,2,7,31,General,,LCT00827
LC_Fsp3-enriched_Screening_Compound_Library,17215,1,FALSE,,FALSE,O=C(Nc1ccccc1OC)CSC=2C=3CCCC3N(CC[NH+]4CCOCC4)C(=O)N2,F2685-0008_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,445.6,31,3,84.7,7.7,8,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-9.414,-10.556,-10.992,-0.341,F2685-0008,"N-(2-methoxyphenyl)-2-({1-[2-(morpholin-4-yl)ethyl]-2-oxo-1H,2H,5H,6H,7H-cyclopenta[d]pyrimidin-4-yl}sulfanyl)acetamide",898450-77-6,1,solid,0.5,0.91,5,2,8,31,General,,LCT00827
LC_Fsp3-enriched_Screening_Compound_Library,17218,1,FALSE,,FALSE,O=C1N=C(SCC(=O)Nc2cccc(OC)c2)C=3CCCC3N1CC[NH+]4CCOCC4,F2685-0009_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,445.6,31,3,84.7,7.7,8,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-10.423,-10.446,-11.129,-0.337,F2685-0009,"N-(3-methoxyphenyl)-2-({1-[2-(morpholin-4-yl)ethyl]-2-oxo-1H,2H,5H,6H,7H-cyclopenta[d]pyrimidin-4-yl}sulfanyl)acetamide",898444-45-6,1,solid,0.5,1.5,5,2,8,31,General,,LCT00827
LC_Fsp3-enriched_Screening_Compound_Library,17221,1,FALSE,,FALSE,O=C1N=C(SCC(=O)Nc2ccc(OC)cc2)C=3CCCC3N1CC[NH+]4CCOCC4,F2685-0010_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,445.6,31,3,84.7,7.7,8,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-9.361,-9.752,-10.547,-0.315,F2685-0010,"N-(4-methoxyphenyl)-2-({1-[2-(morpholin-4-yl)ethyl]-2-oxo-1H,2H,5H,6H,7H-cyclopenta[d]pyrimidin-4-yl}sulfanyl)acetamide",898450-79-8,1,solid,0.5,1.5,5,2,8,31,General,,LCT00827
LC_Fsp3-enriched_Screening_Compound_Library,17224,1,FALSE,,FALSE,Fc1ccccc1NC(=O)CSC=2C=3CCCC3N(CC[NH+]4CCOCC4)C(=O)N2,F2685-0022_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,433.5,30,3.4,75.4,7.2,7,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-8.643,-10.888,-11.317,-0.363,F2685-0022,"N-(2-fluorophenyl)-2-({1-[2-(morpholin-4-yl)ethyl]-2-oxo-1H,2H,5H,6H,7H-cyclopenta[d]pyrimidin-4-yl}sulfanyl)acetamide",951578-56-6,1,solid,0.48,1.22,4,2,7,30,General,,LCT00827
LC_Fsp3-enriched_Screening_Compound_Library,17227,1,FALSE,,FALSE,O=C(Nc1ccccc1C)CSC=2C=3CCCC3N(CC[NH+]4CCOCC4)C(=O)N2,F2685-0023_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,429.6,30,3.3,75.4,7.2,7,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-9.296,-10.485,-10.929,-0.349,F2685-0023,"N-(2-methylphenyl)-2-({1-[2-(morpholin-4-yl)ethyl]-2-oxo-1H,2H,5H,6H,7H-cyclopenta[d]pyrimidin-4-yl}sulfanyl)acetamide",946217-98-7,1,solid,0.5,1.27,4,2,7,30,General,,LCT00827
LC_Fsp3-enriched_Screening_Compound_Library,17233,1,FALSE,,FALSE,Clc1cccc(NC(=O)CSC=2C=3CCCC3N(CC[NH+]4CCOCC4)C(=O)N2)c1,F2685-0025_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,450,30,3.6,75.4,7.2,7,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-9.713,-10.57,-11.141,-0.352,F2685-0025,"N-(3-chlorophenyl)-2-({1-[2-(morpholin-4-yl)ethyl]-2-oxo-1H,2H,5H,6H,7H-cyclopenta[d]pyrimidin-4-yl}sulfanyl)acetamide",950461-91-3,1,solid,0.48,2.39,4,2,7,30,General,,LCT00827
LC_Fsp3-enriched_Screening_Compound_Library,17236,1,FALSE,,FALSE,Clc1ccc(NC(=O)CSC=2C=3CCCC3N(CC[NH+]4CCOCC4)C(=O)N2)cc1,F2685-0026_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,450,30,3.6,75.4,7.2,7,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-10.178,-10.417,-10.895,-0.347,F2685-0026,"N-(4-chlorophenyl)-2-({1-[2-(morpholin-4-yl)ethyl]-2-oxo-1H,2H,5H,6H,7H-cyclopenta[d]pyrimidin-4-yl}sulfanyl)acetamide",946324-57-8,1,solid,0.48,2.39,4,2,7,30,General,,LCT00827
LC_Fsp3-enriched_Screening_Compound_Library,17239,1,FALSE,,FALSE,O=C(NCc1ccccc1)CSC=2C=3CCCC3N(CC[NH+]4CCOCC4)C(=O)N2,F2685-0032_D_D,,,AF-mucoricinfromuniprotI1C083-F1-model_v3_P,429.6,30,2.6,75.4,9,8,0,LC_Fsp3-enriched_Screening_Compound_Library.sdf,,0,,10,,No Primary Activity Set,Invalid,Invalid,-9.977,-10.078,-10.569,-0.336,F2685-0032,"N-benzyl-2-({1-[2-(morpholin-4-yl)ethyl]-2-oxo-1H,2H,5H,6H,7H-cyclopenta[d]pyrimidin-4-yl}sulfanyl)acetamide",898450-91-4,1,solid,0.5,1.32,4,2,8,30,General,,LCT00827
